x	y	group
574.75	485.75	6099
574.75	486.25	6099
576.25	486.25	6099
576.75	485.75	6099
577.25	485.75	6099
577.75	486.25	6099
578.25	486.25	6099
579.25	485.25	6099
579.75	485.25	6099
580.25	485.75	6099
580.75	485.75	6099
580.75	485.25	6099
579.75	484.25	6099
579.75	483.75	6099
581.75	483.75	6099
582.25	483.25	6099
582.25	482.75	6099
581.25	482.75	6099
581.25	482.25	6099
582.25	481.25	6099
582.25	480.75	6099
581.75	480.25	6099
581.75	479.75	6099
584.25	479.75	6099
584.25	481.25	6099
583.75	481.75	6099
582.75	481.75	6099
582.75	482.25	6099
583.25	482.75	6099
583.75	482.75	6099
584.75	481.75	6099
585.25	481.75	6099
585.75	482.25	6099
585.75	482.75	6099
584.25	484.25	6099
584.25	484.75	6099
584.75	485.25	6099
584.75	485.75	6099
581.75	485.75	6099
581.75	486.25	6099
582.25	486.75	6099
582.25	487.25	6099
580.75	488.75	6099
580.75	489.25	6099
581.25	489.75	6099
581.25	490.75	6099
581.75	490.75	6099
582.25	490.25	6099
582.25	489.75	6099
581.75	489.25	6099
581.75	488.75	6099
582.75	487.75	6099
584.25	487.75	6099
585.25	488.75	6099
586.75	488.75	6099
589.25	486.25	6099
589.75	486.25	6099
589.75	487.25	6099
590.25	487.75	6099
591.75	487.75	6099
592.25	487.25	6099
592.25	485.75	6099
591.75	485.75	6099
591.25	486.25	6099
590.75	486.25	6099
590.25	485.75	6099
590.25	485.25	6099
591.25	485.25	6099
591.25	483.75	6099
590.25	483.75	6099
590.25	482.75	6099
589.75	482.25	6099
589.75	480.25	6099
589.25	479.75	6099
589.25	479.25	6099
589.75	478.75	6099
590.25	478.75	6099
590.75	479.25	6099
591.75	479.25	6099
592.25	479.75	6099
592.25	480.25	6099
591.25	480.25	6099
591.25	481.25	6099
590.75	481.75	6099
590.75	482.25	6099
591.75	482.25	6099
591.75	483.25	6099
592.75	483.25	6099
592.75	484.25	6099
593.25	484.75	6099
593.25	486.75	6099
593.75	487.25	6099
593.75	487.75	6099
592.75	487.75	6099
592.25	488.25	6099
592.25	489.25	6099
591.25	489.25	6099
589.25	491.25	6099
588.25	491.25	6099
588.25	491.75	6099
588.75	492.25	6099
590.25	492.25	6099
590.75	491.75	6099
591.75	491.75	6099
591.75	490.75	6099
592.75	489.75	6099
593.25	489.75	6099
593.75	490.25	6099
593.75	491.25	6099
594.25	491.75	6099
594.25	492.75	6099
595.25	492.75	6099
596.25	493.75	6099
597.25	493.75	6099
597.75	494.25	6099
598.75	494.25	6099
599.75	495.25	6099
600.25	495.25	6099
600.25	494.75	6099
599.75	494.25	6099
599.75	493.25	6099
598.75	493.25	6099
598.75	491.75	6099
600.75	491.75	6099
600.75	491.25	6099
600.25	490.75	6099
600.25	488.25	6099
601.25	488.25	6099
601.75	487.75	6099
602.75	487.75	6099
602.75	486.75	6099
603.75	486.75	6099
604.25	486.25	6099
604.25	485.25	6099
604.75	485.25	6099
605.25	485.75	6099
605.75	485.75	6099
605.75	484.75	6099
607.75	484.75	6099
607.75	483.75	6099
608.25	483.75	6099
610.25	485.75	6099
610.75	485.75	6099
610.75	485.25	6099
607.25	481.75	6099
606.25	481.75	6099
605.75	481.25	6099
604.75	481.25	6099
604.25	480.75	6099
603.75	480.75	6099
603.25	481.25	6099
602.25	481.25	6099
601.25	482.25	6099
600.75	482.25	6099
600.75	481.75	6099
601.75	480.75	6099
601.75	479.75	6099
602.25	479.75	6099
602.75	480.25	6099
603.25	480.25	6099
603.25	478.25	6099
603.75	478.25	6099
604.25	478.75	6099
604.25	479.75	6099
604.75	480.25	6099
606.25	480.25	6099
606.75	479.75	6099
606.75	477.75	6099
607.25	477.25	6099
608.25	477.25	6099
608.25	476.75	6099
607.75	476.25	6099
607.25	476.25	6099
606.75	476.75	6099
606.25	476.75	6099
606.25	474.25	6099
606.75	473.75	6099
607.25	473.75	6099
607.75	474.25	6099
608.25	474.25	6099
608.75	473.75	6099
609.25	473.75	6099
609.75	474.25	6099
609.75	475.25	6099
610.25	475.25	6099
611.25	474.25	6099
611.75	474.25	6099
611.75	474.75	6099
611.25	475.25	6099
611.25	475.75	6099
611.75	475.75	6099
612.25	475.25	6099
613.25	475.25	6099
613.25	473.25	6099
613.75	472.75	6099
613.75	472.25	6099
612.75	472.25	6099
612.25	471.75	6099
611.75	471.75	6099
611.25	472.25	6099
610.75	472.25	6099
610.25	471.75	6099
608.75	471.75	6099
607.75	472.75	6099
606.25	472.75	6099
605.75	472.25	6099
605.25	472.25	6099
604.75	472.75	6099
603.75	472.75	6099
603.75	474.25	6099
604.25	474.75	6099
604.25	475.25	6099
603.25	475.25	6099
602.25	476.25	6099
602.25	477.25	6099
601.25	477.25	6099
600.75	477.75	6099
600.75	478.75	6099
600.25	478.75	6099
599.75	478.25	6099
599.25	478.25	6099
598.75	478.75	6099
598.25	478.75	6099
598.25	476.25	6099
599.25	476.25	6099
599.25	475.75	6099
598.25	474.75	6099
597.25	474.75	6099
596.75	474.25	6099
595.75	474.25	6099
595.25	473.75	6099
593.25	473.75	6099
592.25	472.75	6099
591.75	472.75	6099
591.75	473.75	6099
590.75	473.75	6099
590.25	474.25	6099
589.75	474.25	6099
589.25	473.75	6099
589.25	473.25	6099
590.25	473.25	6099
590.25	472.25	6099
591.25	472.25	6099
591.25	471.75	6099
589.75	470.25	6099
589.25	470.25	6099
588.75	470.75	6099
588.75	471.75	6099
588.25	471.75	6099
587.25	470.75	6099
587.25	470.25	6099
588.25	469.25	6099
589.75	469.25	6099
591.75	471.25	6099
592.25	471.25	6099
593.25	470.25	6099
593.25	469.75	6099
592.75	469.75	6099
592.25	470.25	6099
591.75	470.25	6099
591.25	469.75	6099
591.25	469.25	6099
592.25	469.25	6099
593.25	468.25	6099
594.25	468.25	6099
594.75	467.75	6099
594.75	466.75	6099
595.75	465.75	6099
596.25	465.75	6099
596.75	466.25	6099
596.75	466.75	6099
595.75	466.75	6099
595.75	467.25	6099
596.25	467.75	6099
597.75	467.75	6099
597.75	466.25	6099
597.25	465.75	6099
597.25	464.75	6099
596.75	464.25	6099
596.75	463.75	6099
597.75	463.75	6099
597.75	462.75	6099
598.25	462.25	6099
598.25	461.75	6099
596.75	460.25	6099
596.75	459.75	6099
597.75	459.75	6099
598.25	459.25	6099
598.25	458.25	6099
599.75	456.75	6099
599.75	455.75	6099
600.75	454.75	6099
600.75	453.25	6099
599.75	453.25	6099
599.25	452.75	6099
598.75	452.75	6099
598.75	453.75	6099
598.25	454.25	6099
598.25	454.75	6099
598.75	454.75	6099
599.25	454.25	6099
599.75	454.25	6099
599.75	454.75	6099
598.75	455.75	6099
598.75	456.75	6099
598.25	457.25	6099
597.75	457.25	6099
596.75	456.25	6099
596.25	456.25	6099
596.25	456.75	6099
597.25	457.75	6099
597.25	458.25	6099
596.25	459.25	6099
595.25	459.25	6099
594.75	459.75	6099
592.75	459.75	6099
592.25	460.25	6099
592.25	460.75	6099
