x	y	group	clickSelects
-45.25	48.75	14990	3065
-45.25	49.25	14990	3065
-44.75	49.25	14990	3065
-44.75	48.75	14990	3065
-45.25	48.75	14990	3065
-45.25	46.75	15001	3065
-45.25	47.25	15001	3065
-44.75	47.75	15001	3065
-42.75	47.75	15001	3065
-42.25	48.25	15001	3065
-42.25	49.25	15001	3065
-40.75	49.25	15001	3065
-40.25	48.75	15001	3065
-40.25	47.75	15001	3065
-38.75	47.75	15001	3065
-38.75	48.75	15001	3065
-37.75	48.75	15001	3065
-37.25	49.25	15001	3065
-30.75	49.25	15001	3065
-30.75	48.25	15001	3065
-30.25	47.75	15001	3065
-30.25	47.25	15001	3065
-30.75	46.75	15001	3065
-30.75	46.25	15001	3065
-29.75	46.25	15001	3065
-29.75	45.25	15001	3065
-29.25	45.25	15001	3065
-28.25	46.25	15001	3065
-28.25	47.25	15001	3065
-27.25	47.25	15001	3065
-27.25	47.75	15001	3065
-27.75	48.25	15001	3065
-27.75	48.75	15001	3065
-27.25	49.25	15001	3065
-14.75	49.25	15001	3065
-14.75	48.25	15001	3065
-14.25	47.75	15001	3065
-14.25	47.25	15001	3065
-15.25	47.25	15001	3065
-15.25	46.75	15001	3065
-14.25	45.75	15001	3065
-14.25	44.75	15001	3065
-13.75	44.25	15001	3065
-13.75	43.25	15001	3065
-13.25	43.25	15001	3065
-12.75	43.75	15001	3065
-12.25	43.75	15001	3065
-12.25	42.25	15001	3065
-13.25	41.25	15001	3065
-13.75	41.25	15001	3065
-15.75	43.25	15001	3065
-15.75	43.75	15001	3065
-15.25	44.25	15001	3065
-15.25	44.75	15001	3065
-15.75	45.25	15001	3065
-16.75	45.25	15001	3065
-16.75	45.75	15001	3065
-16.25	46.25	15001	3065
-16.25	46.75	15001	3065
-16.75	47.25	15001	3065
-17.25	47.25	15001	3065
-18.75	45.75	15001	3065
-18.75	45.25	15001	3065
-17.75	44.25	15001	3065
-17.75	43.75	15001	3065
-19.75	43.75	15001	3065
-22.75	40.75	15001	3065
-22.75	40.25	15001	3065
-22.25	40.25	15001	3065
-20.75	41.75	15001	3065
-20.25	41.75	15001	3065
-20.25	41.25	15001	3065
-20.75	40.75	15001	3065
-20.75	40.25	15001	3065
-17.75	40.25	15001	3065
-17.25	39.75	15001	3065
-16.25	39.75	15001	3065
-16.25	39.25	15001	3065
-17.25	38.25	15001	3065
-18.25	38.25	15001	3065
-18.25	37.75	15001	3065
