x	y	label	group	showSelected1	showSelected2
-20	50.45	Cluster 9: 57/57 pixels shown, logFC -1.4 to 2.9, log10(p) 0.0 to 4.0	1	9	150,50
-20	50.45	Cluster 706: 208/275 pixels shown, logFC -1.5 to 0.1, log10(p) 0.0 to 24.5	1	706	150,0
-20	50.45	Cluster 706: 67/275 pixels shown, logFC -1.5 to 0.1, log10(p) 0.0 to 24.5	1	706	200,0
-20	50.45	Cluster 894: 272/272 pixels shown, logFC -1.5 to 1.1, log10(p) 0.0 to 14.2	1	894	200,0
-20	50.45	Cluster 914: 92/146 pixels shown, logFC -1.6 to 0.2, log10(p) 0.3 to 32.5	1	914	100,0
-20	50.45	Cluster 914: 54/146 pixels shown, logFC -1.6 to 0.2, log10(p) 0.3 to 32.5	1	914	150,0
-20	50.45	Cluster 1381: 448/508 pixels shown, logFC -2.0 to 2.3, log10(p) 0.0 to 8.3	1	1381	150,0
-20	50.45	Cluster 1381: 51/508 pixels shown, logFC -2.0 to 2.3, log10(p) 0.0 to 8.3	1	1381	150,50
-20	50.45	Cluster 1381: 9/508 pixels shown, logFC -2.0 to 2.3, log10(p) 0.0 to 8.3	1	1381	200,0
-20	50.45	Cluster 1382: 159/432 pixels shown, logFC -1.7 to 1.0, log10(p) 0.0 to 43.4	1	1382	150,0
-20	50.45	Cluster 1382: 273/432 pixels shown, logFC -1.7 to 1.0, log10(p) 0.0 to 43.4	1	1382	200,0
-20	50.45	Cluster 1722: 180/180 pixels shown, logFC -0.6 to 1.2, log10(p) 0.0 to 9.3	1	1722	100,0
-20	50.45	Cluster 1827: 3/115 pixels shown, logFC -1.4 to -0.4, log10(p) 5.3 to 63.5	1	1827	100,0
-20	50.45	Cluster 1827: 102/115 pixels shown, logFC -1.4 to -0.4, log10(p) 5.3 to 63.5	1	1827	150,0
-20	50.45	Cluster 1827: 10/115 pixels shown, logFC -1.4 to -0.4, log10(p) 5.3 to 63.5	1	1827	200,0
-20	50.45	Cluster 1923: 200/200 pixels shown, logFC -1.6 to -0.2, log10(p) 0.8 to 17.6	1	1923	150,0
-20	50.45	Cluster 1986: 474/480 pixels shown, logFC -1.4 to 1.0, log10(p) 0.0 to 5.2	1	1986	150,0
-20	50.45	Cluster 1986: 6/480 pixels shown, logFC -1.4 to 1.0, log10(p) 0.0 to 5.2	1	1986	200,0
-20	50.45	Cluster 2004: 167/167 pixels shown, logFC -0.8 to 1.3, log10(p) 0.0 to 22.0	1	2004	200,0
-20	50.45	Cluster 2108: 106/106 pixels shown, logFC -1.5 to 0.3, log10(p) 0.0 to 50.6	1	2108	150,0
-20	50.45	Cluster 2132: 147/147 pixels shown, logFC -1.4 to 0.5, log10(p) 0.0 to 22.3	1	2132	150,0
-20	50.45	Cluster 2194: 20/20 pixels shown, logFC -1.3 to -0.4, log10(p) 3.8 to 38.5	1	2194	200,0
-20	50.45	Cluster 2369: 63/80 pixels shown, logFC -1.9 to 0.5, log10(p) 0.0 to 8.3	1	2369	150,0
-20	50.45	Cluster 2369: 17/80 pixels shown, logFC -1.9 to 0.5, log10(p) 0.0 to 8.3	1	2369	150,50
-20	50.45	Cluster 2549: 109/109 pixels shown, logFC -0.9 to 1.4, log10(p) 0.0 to 7.9	1	2549	200,0
-20	50.45	Cluster 2576: 65/374 pixels shown, logFC -1.7 to 1.2, log10(p) 0.0 to 3.9	1	2576	100,0
-20	50.45	Cluster 2576: 309/374 pixels shown, logFC -1.7 to 1.2, log10(p) 0.0 to 3.9	1	2576	150,0
-20	50.45	Cluster 2792: 15/15 pixels shown, logFC 0.6 to 1.8, log10(p) 1.4 to 5.7	1	2792	200,0
-20	50.45	Cluster 2875: 16/407 pixels shown, logFC -2.0 to 1.3, log10(p) 0.0 to 4.6	1	2875	100,0
-20	50.45	Cluster 2875: 391/407 pixels shown, logFC -2.0 to 1.3, log10(p) 0.0 to 4.6	1	2875	150,0
-20	50.45	Cluster 3008: 163/366 pixels shown, logFC -4.4 to 1.7, log10(p) 0.0 to 3.8	1	3008	150,0
-20	50.45	Cluster 3008: 203/366 pixels shown, logFC -4.4 to 1.7, log10(p) 0.0 to 3.8	1	3008	150,50
-20	50.45	Cluster 3013: 202/202 pixels shown, logFC -1.6 to 0.4, log10(p) 0.0 to 65.8	1	3013	100,0
-20	50.45	Cluster 3034: 208/220 pixels shown, logFC -0.4 to 1.0, log10(p) 0.0 to 6.5	1	3034	100,0
-20	50.45	Cluster 3034: 12/220 pixels shown, logFC -0.4 to 1.0, log10(p) 0.0 to 6.5	1	3034	150,0
-20	50.45	Cluster 3051: 2/182 pixels shown, logFC -1.4 to 0.1, log10(p) 0.1 to 16.3	1	3051	150,0
-20	50.45	Cluster 3051: 180/182 pixels shown, logFC -1.4 to 0.1, log10(p) 0.1 to 16.3	1	3051	200,0
-20	50.45	Cluster 3171: 3/3 pixels shown, logFC 0.8 to 1.8, log10(p) 1.2 to 4.8	1	3171	200,0
-20	50.45	Cluster 3197: 495/605 pixels shown, logFC -1.4 to 0.8, log10(p) 0.0 to 7.7	1	3197	150,0
-20	50.45	Cluster 3197: 110/605 pixels shown, logFC -1.4 to 0.8, log10(p) 0.0 to 7.7	1	3197	200,0
-20	50.45	Cluster 3323: 111/111 pixels shown, logFC 0.2 to 2.3, log10(p) 0.4 to 11.3	1	3323	200,0
-20	50.45	Cluster 3353: 332/529 pixels shown, logFC -1.6 to 1.1, log10(p) 0.0 to 15.1	1	3353	100,0
-20	50.45	Cluster 3353: 197/529 pixels shown, logFC -1.6 to 1.1, log10(p) 0.0 to 15.1	1	3353	150,0
